"Data" "Rs" "Tmax" "Tmin" "RHmax" "u2" "RHmin" "DiaJuliano" "N" "Qo" "n" "n.N" "Tmed" "esMax" "esMin" "esMed" "ea" "DPV" "Delta" "BOC" "BOL" "Rn" "ETP.Penman" "W" "ETP.Priestley"
"56" 1980-02-25 15.74 31.1 20.8 82.75 1.333333 82.75 56 12.1674578237475 38.3652888896582 3.900076329192 0.320533375639088 25.95 4.52802739291588 2.45933743252334 3.49368241271961 2.89102219652548 0.602660216194133 0.206594434602533 12.1198 -0.285674599603166 11.8341254003968 3.83192274584583 0.7425 4.51894531360868
"57" 1980-02-26 9.68 29.8 22 81.75 2 81.75 57 12.1607432794915 39.2248221978427 1 0.082231815688968 25.9 4.20318345259372 2.64719766525022 3.42519055892197 2.80009328191871 0.625097277003259 0.202621218370093 7.4536 -0.132606783466418 7.32099321653358 2.7247110382607 0.742 2.79369101142921
"58" 1980-02-27 12.22 30 21.2 88.5 0.666667 88.5 58 12.1539943484014 39.0177323580862 1.53604448462266 0.126381865960361 25.6 4.25179942092899 2.52061886287571 3.38620914190235 2.99679509058358 0.38941405131877 0.200772653896749 9.4094 -0.149823140757686 9.25957685924232 2.88192450078582 0.739 3.51916832518975
"59" 1980-02-28 10.62 27.7 22.4 89.25 1.333333 89.25 59 12.147212699815 37.9185738224385 0.730626292180784 0.0601476495255502 25.05 3.7211892231021 2.71254407232117 3.21686664771164 2.87105348308264 0.345813164629001 0.191532675352688 8.1774 -0.112889677394468 8.06451032260553 2.51717171429145 0.7335 3.04216370826745
"60" 1980-02-29 9.66 24.5 20.8 95 0.666667 95 60 12.1403999817392 36.8997973925465 0.286271974328217 0.023580110602518 22.65 3.07925484848314 2.45933743252334 2.76929614050324 2.63083133347808 0.138464807025162 0.1679429242597 7.4382 -0.0944410259629983 7.343758974037 2.10217856404408 0.7095 2.67963273878362
"61" 1980-03-01 14.9 30.7 21 86.66 1.11 86.66 61 12.1335578213838 36.8594698966761 3.74291244110487 0.308476087245284 25.85 4.42582813246084 2.48981333854248 3.45782073550166 2.99654744938574 0.461273286115921 0.204629234531705 11.473 -0.265612628283211 11.2073873717168 3.51767390338831 0.7415 4.27385712143726
"62" 1980-03-02 10.91 29.3 22.4 90.75 0.666667 90.75 62 12.1266878257562 37.8163832206563 0.933737928979964 0.0769985953622701 25.85 4.08375335871885 2.71254407232117 3.39814871552001 3.08381995933441 0.314328756185601 0.201097923713177 8.4007 -0.114807099448988 8.28589290055101 2.56374473010763 0.7415 3.15976607267584
"63" 1980-03-03 19.96 31.1 21.8 84 2 84 63 12.1197915823156 38.8940329112961 6.3795979756488 0.526378521637078 26.45 4.52802739291588 2.61504335174219 3.57153537232904 3.00008971275639 0.571445659572646 0.210398177303179 15.3692 -0.406206175896202 14.9629938241038 4.71267579040801 0.7475 5.75220234009476
"64" 1980-03-04 17.08 30.7 21.6 89.61 1.34 89.61 64 12.1128706596827 39.1070796305241 4.52414664263092 0.373499129127946 26.15 4.42582813246084 2.58323082693494 3.50452947969789 3.14040886675728 0.364120612940611 0.206921332199404 13.1516 -0.289874217082181 12.8617257829178 3.91254604401811 0.7445 4.92457106333948
"65" 1980-03-05 10.08 27.2 22.4 87.25 0.666667 87.25 65 12.1059266084014 38.244496575723 0.328490297682893 0.0271346678621796 24.8 3.61379511524974 2.71254407232117 3.16316959378546 2.75986547057781 0.403304123207646 0.18869499869546 7.7616 -0.0949219980491139 7.66667800195089 2.39286168305224 0.731 2.88223283284771
"66" 1980-03-06 11.02 27.7 21.2 88.25 0.666667 88.25 66 12.0989609617508 37.0577001084412 1.14635463076571 0.0947481882444082 24.45 3.7211892231021 2.52061886287571 3.12090404298891 2.75419781793771 0.366706225051197 0.18667191775537 8.4854 -0.140996240213214 8.34440375978679 2.56288387410712 0.7275 3.12199906384023
"67" 1980-03-07 11.1 28.8 21.7 90.48 1.08 90.48 67 12.0919752366031 36.585902709735 1.29131528720145 0.106791095907355 25.25 3.96728698956154 2.59909455849997 3.28319077403075 2.97063101234303 0.312559761687727 0.195183916208149 8.547 -0.138306600136801 8.4086933998632 2.58739771971706 0.7355 3.18064834059397
"68" 1980-03-08 19.5 30.3 21.6 80.21 0.76 80.21 68 12.0849709343248 37.2244940322973 6.61890533722946 0.547697249186577 25.95 4.32564032058364 2.58323082693494 3.45443557375929 2.77080277371233 0.683632800046964 0.204273623049821 15.015 -0.457408445039355 14.5575915549606 4.59145673606783 0.7425 5.55892031805854
"69" 1980-03-09 22.54 32.1 21.2 83.85 1.07 83.85 69 12.0779495417183 38.3717471670357 8.15047464280756 0.674822710150849 26.65 4.79254819773338 2.52061886287571 3.65658353030454 3.06604529016036 0.590538240144184 0.215082026730209 17.3558 -0.488481791988669 16.8673182080113 5.27335265477541 0.7495 6.50162828412231
